REF_DATE,GEO,Type of structure,VALUE
2019-11-01,Ontario,Non-residential,1244.0
2019-12-01,Ontario,Non-residential,1194.0
2020-01-01,Ontario,Non-residential,1236.0
2020-02-01,Ontario,Non-residential,1281.0
2020-03-01,Ontario,Non-residential,1467.0
2020-04-01,Ontario,Non-residential,1571.0
2020-05-01,Ontario,Non-residential,1719.0
2020-06-01,Ontario,Non-residential,1650.0
2020-07-01,Ontario,Non-residential,1740.0
2020-08-01,Ontario,Non-residential,1647.0
2020-09-01,Ontario,Non-residential,1505.0
2020-10-01,Ontario,Non-residential,1362.0
2020-11-01,Ontario,Non-residential,1358.0
2020-12-01,Ontario,Non-residential,1148.0
2021-01-01,Ontario,Non-residential,1360.0
2021-02-01,Ontario,Non-residential,1437.0
2021-03-01,Ontario,Non-residential,1568.0
2021-04-01,Ontario,Non-residential,1704.0
2021-05-01,Ontario,Non-residential,1714.0
2021-06-01,Ontario,Non-residential,1784.0
2021-07-01,Ontario,Non-residential,1829.0
2021-08-01,Ontario,Non-residential,1726.0
2021-09-01,Ontario,Non-residential,1590.0
2021-10-01,Ontario,Non-residential,1330.0
2021-11-01,Ontario,Non-residential,1413.0
2021-12-01,Ontario,Non-residential,1436.0
2022-01-01,Ontario,Non-residential,1461.0
2022-02-01,Ontario,Non-residential,1492.0
2022-03-01,Ontario,Non-residential,1473.0
2022-04-01,Ontario,Non-residential,1806.0
2022-05-01,Ontario,Non-residential,1811.0
2022-06-01,Ontario,Non-residential,1653.0
2022-07-01,Ontario,Non-residential,1863.0
2022-08-01,Ontario,Non-residential,1624.0
2022-09-01,Ontario,Non-residential,1522.0
2022-10-01,Ontario,Non-residential,1458.0
2022-11-01,Ontario,Non-residential,1529.0
2022-12-01,Ontario,Non-residential,1366.0
2023-01-01,Ontario,Non-residential,1456.0
2023-02-01,Ontario,Non-residential,1672.0
2023-03-01,Ontario,Non-residential,1787.0
2023-04-01,Ontario,Non-residential,1775.0
2023-05-01,Ontario,Non-residential,1859.0
2023-06-01,Ontario,Non-residential,1813.0
2023-07-01,Ontario,Non-residential,1831.0
2023-08-01,Ontario,Non-residential,1837.0
2023-09-01,Ontario,Non-residential,1717.0
2023-10-01,Ontario,Non-residential,1575.0
2023-11-01,Ontario,Non-residential,1562.0
2023-12-01,Ontario,Non-residential,1388.0
2024-01-01,Ontario,Non-residential,1485.0
2024-02-01,Ontario,Non-residential,1644.0
2024-03-01,Ontario,Non-residential,1760.0
2024-04-01,Ontario,Non-residential,1928.0
2024-05-01,Ontario,Non-residential,1967.0
2024-06-01,Ontario,Non-residential,1947.0
2024-07-01,Ontario,Non-residential,1974.0
2024-08-01,Ontario,Non-residential,1776.0
2024-09-01,Ontario,Non-residential,1605.0
2024-10-01,Ontario,Non-residential,1669.0
2024-11-01,Ontario,Non-residential,1531.0
2024-12-01,Ontario,Non-residential,1533.0
2025-01-01,Ontario,Non-residential,1406.0
2025-02-01,Ontario,Non-residential,1610.0
2025-03-01,Ontario,Non-residential,1719.0
2025-04-01,Ontario,Non-residential,1825.0
2025-05-01,Ontario,Non-residential,1805.0
2025-06-01,Ontario,Non-residential,2000.0
2025-07-01,Ontario,Non-residential,2073.0
2025-08-01,Ontario,Non-residential,1945.0
2025-09-01,Ontario,Non-residential,1746.0
2025-10-01,Ontario,Non-residential,1676.0
2025-11-01,Ontario,Non-residential,1654.0
2025-12-01,Ontario,Non-residential,1337.0
2026-01-01,Ontario,Non-residential,1591.0
2026-02-01,Ontario,Non-residential,1740.0
2026-03-01,Ontario,Non-residential,1880.0
2026-04-01,Ontario,Non-residential,2091.0
2026-05-01,Ontario,Non-residential,2139.0
2026-06-01,Ontario,Non-residential,2109.0
2026-07-01,Ontario,Non-residential,2080.0
2026-08-01,Ontario,Non-residential,2035.0
2018-01-01,Ontario,Residential,2224.0
2018-02-01,Ontario,Residential,2015.0
2018-03-01,Ontario,Residential,2460.0
2018-04-01,Ontario,Residential,2369.0
2018-05-01,Ontario,Residential,2632.0
2018-06-01,Ontario,Residential,2448.0
2018-07-01,Ontario,Residential,2574.0
2018-08-01,Ontario,Residential,2618.0
2018-09-01,Ontario,Residential,2125.0
2018-10-01,Ontario,Residential,2243.0
2018-11-01,Ontario,Residential,2005.0
2018-12-01,Ontario,Residential,1774.0
2019-01-01,Ontario,Residential,1908.0
2019-02-01,Ontario,Residential,2068.0
2019-03-01,Ontario,Residential,2332.0
2019-04-01,Ontario,Residential,2475.0
2019-05-01,Ontario,Residential,2590.0
2019-06-01,Ontario,Residential,2722.0
2019-07-01,Ontario,Residential,2579.0
2019-08-01,Ontario,Residential,2404.0
2019-09-01,Ontario,Residential,2377.0
2019-10-01,Ontario,Residential,2309.0
2019-11-01,Ontario,Residential,1846.0
2019-12-01,Ontario,Residential,2005.0
2020-01-01,Ontario,Residential,1979.0
2020-02-01,Ontario,Residential,2090.0
2020-03-01,Ontario,Residential,2543.0
2020-04-01,Ontario,Residential,2568.0
2020-05-01,Ontario,Residential,2993.0
2020-06-01,Ontario,Residential,2749.0
2020-07-01,Ontario,Residential,2859.0
2020-08-01,Ontario,Residential,2638.0
2020-09-01,Ontario,Residential,2374.0
2020-10-01,Ontario,Residential,2360.0
2020-11-01,Ontario,Residential,2121.0
2020-12-01,Ontario,Residential,2176.0
2021-01-01,Ontario,Residential,2151.0
2021-02-01,Ontario,Residential,2166.0
2021-03-01,Ontario,Residential,2507.0
2021-04-01,Ontario,Residential,2736.0
2021-05-01,Ontario,Residential,3012.0
2021-06-01,Ontario,Residential,2823.0
2021-07-01,Ontario,Residential,2893.0
2021-08-01,Ontario,Residential,2528.0
2021-09-01,Ontario,Residential,2653.0
2021-10-01,Ontario,Residential,2228.0
2021-11-01,Ontario,Residential,1991.0
2021-12-01,Ontario,Residential,2179.0
2022-01-01,Ontario,Residential,2396.0
2022-02-01,Ontario,Residential,2199.0
2022-03-01,Ontario,Residential,2466.0
2022-04-01,Ontario,Residential,2720.0
2022-05-01,Ontario,Residential,2823.0
2022-06-01,Ontario,Residential,3087.0
2022-07-01,Ontario,Residential,2881.0
2022-08-01,Ontario,Residential,2753.0
2022-09-01,Ontario,Residential,2735.0
2022-10-01,Ontario,Residential,2362.0
2022-11-01,Ontario,Residential,2382.0
2022-12-01,Ontario,Residential,2148.0
2023-01-01,Ontario,Residential,2177.0
2023-02-01,Ontario,Residential,2248.0
2023-03-01,Ontario,Residential,2951.0
2023-04-01,Ontario,Residential,2868.0
2023-05-01,Ontario,Residential,3098.0
2023-06-01,Ontario,Residential,3123.0
2023-07-01,Ontario,Residential,3102.0
2023-08-01,Ontario,Residential,2948.0
2023-09-01,Ontario,Residential,3003.0
2023-10-01,Ontario,Residential,2415.0
2023-11-01,Ontario,Residential,2206.0
2023-12-01,Ontario,Residential,2233.0
2024-01-01,Ontario,Residential,2251.0
2024-02-01,Ontario,Residential,2685.0
2024-03-01,Ontario,Residential,2903.0
2024-04-01,Ontario,Residential,2873.0
2024-05-01,Ontario,Residential,2970.0
2024-06-01,Ontario,Residential,3170.0
2024-07-01,Ontario,Residential,3358.0
2024-08-01,Ontario,Residential,2654.0
2024-09-01,Ontario,Residential,2909.0
2024-10-01,Ontario,Residential,2501.0
2024-11-01,Ontario,Residential,2645.0
2024-12-01,Ontario,Residential,2315.0
2025-01-01,Ontario,Residential,2483.0
2025-02-01,Ontario,Residential,2474.0
2025-03-01,Ontario,Residential,2753.0
2025-04-01,Ontario,Residential,3278.0
2025-05-01,Ontario,Residential,3357.0
2025-06-01,Ontario,Residential,3255.0
2025-07-01,Ontario,Residential,3146.0
2025-08-01,Ontario,Residential,2869.0
2025-09-01,Ontario,Residential,2877.0
2025-10-01,Ontario,Residential,2732.0
2025-11-01,Ontario,Residential,2586.0
2025-12-01,Ontario,Residential,2538.0
2026-01-01,Ontario,Residential,2462.0
2026-02-01,Ontario,Residential,2758.0
2026-03-01,Ontario,Residential,2970.0
2026-04-01,Ontario,Residential,3357.0
2026-05-01,Ontario,Residential,3588.0
2026-06-01,Ontario,Residential,3381.0
2026-07-01,Ontario,Residential,3251.0
2026-08-01,Ontario,Residential,3205.0
2018-01-01,Quebec,Non-residential,406.0
2018-02-01,Quebec,Non-residential,479.0
2018-03-01,Quebec,Non-residential,533.0
2018-04-01,Quebec,Non-residential,531.0
2018-05-01,Quebec,Non-residential,590.0
2018-06-01,Quebec,Non-residential,612.0
2018-07-01,Quebec,Non-residential,562.0
2018-08-01,Quebec,Non-residential,561.0
2018-09-01,Quebec,Non-residential,506.0
2018-10-01,Quebec,Non-residential,449.0
2018-11-01,Quebec,Non-residential,419.0
2018-12-01,Quebec,Non-residential,426.0
2019-01-01,Quebec,Non-residential,438.0
2019-02-01,Quebec,Non-residential,455.0
2019-03-01,Quebec,Non-residential,505.0
2019-04-01,Quebec,Non-residential,597.0
2019-05-01,Quebec,Non-residential,604.0
2019-06-01,Quebec,Non-residential,638.0
2019-07-01,Quebec,Non-residential,637.0
2019-08-01,Quebec,Non-residential,588.0
2019-09-01,Quebec,Non-residential,595.0
2019-10-01,Quebec,Non-residential,460.0
2019-11-01,Quebec,Non-residential,478.0
2019-12-01,Quebec,Non-residential,434.0
2020-01-01,Quebec,Non-residential,512.0
2020-02-01,Quebec,Non-residential,542.0
2020-03-01,Quebec,Non-residential,480.0
2020-04-01,Quebec,Non-residential,555.0
2020-05-01,Quebec,Non-residential,638.0
2020-06-01,Quebec,Non-residential,655.0
2020-07-01,Quebec,Non-residential,643.0
2020-08-01,Quebec,Non-residential,588.0
2020-09-01,Quebec,Non-residential,561.0
2020-10-01,Quebec,Non-residential,524.0
2020-11-01,Quebec,Non-residential,472.0
2020-12-01,Quebec,Non-residential,494.0
2021-01-01,Quebec,Non-residential,410.0
2021-02-01,Quebec,Non-residential,530.0
2021-03-01,Quebec,Non-residential,527.0
2021-04-01,Quebec,Non-residential,632.0
2021-05-01,Quebec,Non-residential,631.0
2021-06-01,Quebec,Non-residential,625.0
2021-07-01,Quebec,Non-residential,653.0
2021-08-01,Quebec,Non-residential,584.0
2021-09-01,Quebec,Non-residential,541.0
2021-10-01,Quebec,Non-residential,479.0
2021-11-01,Quebec,Non-residential,493.0
2021-12-01,Quebec,Non-residential,499.0
2022-01-01,Quebec,Non-residential,528.0
2022-02-01,Quebec,Non-residential,528.0
2022-03-01,Quebec,Non-residential,609.0
2022-04-01,Quebec,Non-residential,625.0
2022-05-01,Quebec,Non-residential,656.0
2022-06-01,Quebec,Non-residential,689.0
2022-07-01,Quebec,Non-residential,693.0
2022-08-01,Quebec,Non-residential,621.0
2022-09-01,Quebec,Non-residential,581.0
2022-10-01,Quebec,Non-residential,540.0
2022-11-01,Quebec,Non-residential,517.0
2022-12-01,Quebec,Non-residential,477.0
2023-01-01,Quebec,Non-residential,548.0
2023-02-01,Quebec,Non-residential,540.0
2023-03-01,Quebec,Non-residential,612.0
2023-04-01,Quebec,Non-residential,620.0
2023-05-01,Quebec,Non-residential,689.0
2023-06-01,Quebec,Non-residential,704.0
2023-07-01,Quebec,Non-residential,669.0
2023-08-01,Quebec,Non-residential,711.0
2023-09-01,Quebec,Non-residential,619.0
2023-10-01,Quebec,Non-residential,618.0
2023-11-01,Quebec,Non-residential,563.0
2023-12-01,Quebec,Non-residential,505.0
2024-01-01,Quebec,Non-residential,527.0
2024-02-01,Quebec,Non-residential,585.0
2024-03-01,Quebec,Non-residential,620.0
2024-04-01,Quebec,Non-residential,666.0
2024-05-01,Quebec,Non-residential,690.0
2024-06-01,Quebec,Non-residential,659.0
2024-07-01,Quebec,Non-residential,695.0
2024-08-01,Quebec,Non-residential,605.0
2024-09-01,Quebec,Non-residential,639.0
2024-10-01,Quebec,Non-residential,564.0
2024-11-01,Quebec,Non-residential,533.0
2024-12-01,Quebec,Non-residential,538.0
2025-01-01,Quebec,Non-residential,566.0
2025-02-01,Quebec,Non-residential,550.0
2025-03-01,Quebec,Non-residential,587.0
2025-04-01,Quebec,Non-residential,653.0
2025-05-01,Quebec,Non-residential,658.0
2025-06-01,Quebec,Non-residential,704.0
2025-07-01,Quebec,Non-residential,769.0
2025-08-01,Quebec,Non-residential,660.0
2025-09-01,Quebec,Non-residential,668.0
2025-10-01,Quebec,Non-residential,565.0
2025-11-01,Quebec,Non-residential,584.0
2025-12-01,Quebec,Non-residential,555.0
2026-01-01,Quebec,Non-residential,576.0
2026-02-01,Quebec,Non-residential,629.0
2026-03-01,Quebec,Non-residential,711.0
2026-04-01,Quebec,Non-residential,710.0
2026-05-01,Quebec,Non-residential,743.0
2026-06-01,Quebec,Non-residential,724.0
2026-07-01,Quebec,Non-residential,760.0
2026-08-01,Quebec,Non-residential,704.0
2018-01-01,Quebec,Residential,718.0
2018-02-01,Quebec,Residential,681.0
2018-03-01,Quebec,Residential,788.0
2018-04-01,Quebec,Residential,885.0
2018-05-01,Quebec,Residential,895.0
2018-06-01,Quebec,Residential,918.0
2018-07-01,Quebec,Residential,925.0
2018-08-01,Quebec,Residential,796.0
2018-09-01,Quebec,Residential,758.0
2018-10-01,Quebec,Residential,738.0
2018-11-01,Quebec,Residential,715.0
2018-12-01,Quebec,Residential,682.0
2019-01-01,Quebec,Residential,627.0
2019-02-01,Quebec,Residential,747.0
2019-03-01,Quebec,Residential,883.0
2019-04-01,Quebec,Residential,947.0
2019-05-01,Quebec,Residential,972.0
2019-06-01,Quebec,Residential,955.0
2019-07-01,Quebec,Residential,1011.0
2019-08-01,Quebec,Residential,903.0
2019-09-01,Quebec,Residential,804.0
2019-10-01,Quebec,Residential,752.0
2019-11-01,Quebec,Residential,811.0
2019-12-01,Quebec,Residential,735.0
2020-01-01,Quebec,Residential,802.0
2020-02-01,Quebec,Residential,779.0
2020-03-01,Quebec,Residential,923.0
2020-04-01,Quebec,Residential,923.0
2020-05-01,Quebec,Residential,1001.0
2020-06-01,Quebec,Residential,1151.0
2020-07-01,Quebec,Residential,1051.0
2020-08-01,Quebec,Residential,939.0
2020-09-01,Quebec,Residential,890.0
2020-10-01,Quebec,Residential,840.0
2020-11-01,Quebec,Residential,832.0
2020-12-01,Quebec,Residential,733.0
2021-01-01,Quebec,Residential,695.0
2021-02-01,Quebec,Residential,821.0
2021-03-01,Quebec,Residential,911.0
2021-04-01,Quebec,Residential,991.0
2021-05-01,Quebec,Residential,1105.0
2021-06-01,Quebec,Residential,1079.0
2021-07-01,Quebec,Residential,1086.0
2021-08-01,Quebec,Residential,943.0
2021-09-01,Quebec,Residential,968.0
2021-10-01,Quebec,Residential,958.0
2021-11-01,Quebec,Residential,844.0
2021-12-01,Quebec,Residential,802.0
2022-01-01,Quebec,Residential,819.0
2022-02-01,Quebec,Residential,954.0
2022-03-01,Quebec,Residential,898.0
2022-04-01,Quebec,Residential,1013.0
2022-05-01,Quebec,Residential,1096.0
2022-06-01,Quebec,Residential,1132.0
2022-07-01,Quebec,Residential,1058.0
2022-08-01,Quebec,Residential,1044.0
2022-09-01,Quebec,Residential,946.0
2022-10-01,Quebec,Residential,895.0
2022-11-01,Quebec,Residential,833.0
2022-12-01,Quebec,Residential,767.0
2023-01-01,Quebec,Residential,844.0
2023-02-01,Quebec,Residential,943.0
2023-03-01,Quebec,Residential,929.0
2023-04-01,Quebec,Residential,1039.0
2023-05-01,Quebec,Residential,1139.0
2023-06-01,Quebec,Residential,1077.0
2023-07-01,Quebec,Residential,1121.0
2023-08-01,Quebec,Residential,1011.0
2023-09-01,Quebec,Residential,1047.0
2023-10-01,Quebec,Residential,1034.0
2023-11-01,Quebec,Residential,970.0
2023-12-01,Quebec,Residential,845.0
2024-01-01,Quebec,Residential,913.0
2024-02-01,Quebec,Residential,939.0
2024-03-01,Quebec,Residential,1014.0
2024-04-01,Quebec,Residential,1159.0
2024-05-01,Quebec,Residential,1076.0
2024-06-01,Quebec,Residential,1213.0
2024-07-01,Quebec,Residential,1143.0
2024-08-01,Quebec,Residential,1163.0
2024-09-01,Quebec,Residential,1034.0
2024-10-01,Quebec,Residential,923.0
2024-11-01,Quebec,Residential,918.0
2024-12-01,Quebec,Residential,924.0
2025-01-01,Quebec,Residential,912.0
2025-02-01,Quebec,Residential,990.0
2025-03-01,Quebec,Residential,1016.0
2025-04-01,Quebec,Residential,1014.0
2025-05-01,Quebec,Residential,1216.0
2025-06-01,Quebec,Residential,1229.0
2025-07-01,Quebec,Residential,1185.0
2025-08-01,Quebec,Residential,1131.0
2025-09-01,Quebec,Residential,1108.0
2025-10-01,Quebec,Residential,966.0
2025-11-01,Quebec,Residential,904.0
2025-12-01,Quebec,Residential,912.0
2026-01-01,Quebec,Residential,1001.0
2026-02-01,Quebec,Residential,932.0
2026-03-01,Quebec,Residential,1132.0
2026-04-01,Quebec,Residential,1119.0
2026-05-01,Quebec,Residential,1152.0
2026-06-01,Quebec,Residential,1289.0
2026-07-01,Quebec,Residential,1206.0
2026-08-01,Quebec,Residential,1098.0
