origin,dest,quarter,origin_city,dest_city,origin_tier,dest_tier,distance_miles,departures,seats,passengers,load_factor,avg_fare,revenue,op_cost,casm_cents
DFW,BOS,1,Dallas/Fort Worth,Boston,hub,spoke,1558.9,86,12900,10299,0.798,154.28,1588929.72,1215192.9,6.04
BOS,DFW,1,Boston,Dallas/Fort Worth,spoke,hub,1558.9,84,15876,10898,0.686,159.73,1740737.54,1494848.28,6.04
DFW,BOS,2,Dallas/Fort Worth,Boston,hub,spoke,1558.9,70,11200,6386,0.57,123.19,786691.34,1195559.78,6.85
BOS,DFW,2,Boston,Dallas/Fort Worth,spoke,hub,1558.9,71,5396,4647,0.861,227.85,1058818.95,669138.18,7.95
DFW,BOS,3,Dallas/Fort Worth,Boston,hub,spoke,1558.9,100,15000,12658,0.844,198.9,2517676.2,1413238.87,6.04
BOS,DFW,3,Boston,Dallas/Fort Worth,spoke,hub,1558.9,70,10500,10185,0.97,190.47,1939936.95,1085391.89,6.63
DFW,BOS,4,Dallas/Fort Worth,Boston,hub,spoke,1558.9,75,11250,8353,0.743,177.79,1485079.87,1119831.94,6.39
BOS,DFW,4,Boston,Dallas/Fort Worth,spoke,hub,1558.9,78,11700,8498,0.726,177.81,1511029.38,1274472.56,6.99
DFW,SFO,1,Dallas/Fort Worth,San Francisco,hub,spoke,1461.5,98,7448,5395,0.724,207.61,1120055.95,891367.74,8.19
SFO,DFW,1,San Francisco,Dallas/Fort Worth,spoke,hub,1461.5,84,15876,11929,0.751,195.25,2329137.25,1363528.34,5.88
DFW,SFO,2,Dallas/Fort Worth,San Francisco,hub,spoke,1461.5,62,11718,11303,0.965,171.54,1938916.62,1043882.62,6.1
SFO,DFW,2,San Francisco,Dallas/Fort Worth,spoke,hub,1461.5,75,11250,9110,0.81,228.81,2084459.1,1037681.27,6.31
DFW,SFO,3,Dallas/Fort Worth,San Francisco,hub,spoke,1461.5,49,7350,5704,0.776,194.86,1111481.44,633499.85,5.9
SFO,DFW,3,San Francisco,Dallas/Fort Worth,spoke,hub,1461.5,89,13350,12421,0.93,158.26,1965747.46,1184826.64,6.07
DFW,SFO,4,Dallas/Fort Worth,San Francisco,hub,spoke,1461.5,93,17577,15268,0.869,158.76,2423947.68,1803326.17,7.02
SFO,DFW,4,San Francisco,Dallas/Fort Worth,spoke,hub,1461.5,78,14742,11170,0.758,172.05,1921798.5,1443354.07,6.7
DFW,LAS,1,Dallas/Fort Worth,Las Vegas,hub,spoke,1052.8,65,12285,9656,0.786,155.02,1496873.12,936883.6,7.24
LAS,DFW,1,Las Vegas,Dallas/Fort Worth,spoke,hub,1052.8,89,13350,11528,0.864,170.81,1969097.68,1223624.27,8.71
DFW,LAS,2,Dallas/Fort Worth,Las Vegas,hub,spoke,1052.8,65,9750,7651,0.785,152.12,1163870.12,843182.5,8.21
LAS,DFW,2,Las Vegas,Dallas/Fort Worth,spoke,hub,1052.8,78,14742,8826,0.599,141.61,1249849.86,1096149.16,7.06
DFW,LAS,3,Dallas/Fort Worth,Las Vegas,hub,spoke,1052.8,91,6916,5516,0.798,132.16,728994.56,619639.92,8.51
LAS,DFW,3,Las Vegas,Dallas/Fort Worth,spoke,hub,1052.8,92,14720,13599,0.924,139.55,1897740.45,1094383.92,7.06
DFW,LAS,4,Dallas/Fort Worth,Las Vegas,hub,spoke,1052.8,89,14240,11173,0.785,140.83,1573493.59,1012957.52,6.76
LAS,DFW,4,Las Vegas,Dallas/Fort Worth,spoke,hub,1052.8,88,14080,9630,0.684,135.6,1305828.0,1065804.17,7.19
DFW,MSP,1,Dallas/Fort Worth,Minneapolis,hub,spoke,852.6,93,13950,10535,0.755,131.42,1384509.7,816214.19,6.86
MSP,DFW,1,Minneapolis,Dallas/Fort Worth,spoke,hub,852.6,82,15498,8734,0.564,133.44,1165464.96,984011.45,7.45
DFW,MSP,2,Dallas/Fort Worth,Minneapolis,hub,spoke,852.6,77,11550,9416,0.815,128.2,1207131.2,797689.52,8.1
MSP,DFW,2,Minneapolis,Dallas/Fort Worth,spoke,hub,852.6,77,5852,4853,0.829,151.06,733094.18,463761.21,9.3
DFW,MSP,3,Dallas/Fort Worth,Minneapolis,hub,spoke,852.6,77,11550,10303,0.892,134.69,1387711.07,767437.73,7.79
MSP,DFW,3,Minneapolis,Dallas/Fort Worth,spoke,hub,852.6,86,12900,11744,0.91,120.92,1420084.48,910978.81,8.28
DFW,MSP,4,Dallas/Fort Worth,Minneapolis,hub,spoke,852.6,67,10720,8604,0.803,149.69,1287932.76,575766.44,6.3
MSP,DFW,4,Minneapolis,Dallas/Fort Worth,spoke,hub,852.6,81,12960,10020,0.773,148.0,1482960.0,926500.36,8.38
DFW,DTW,1,Dallas/Fort Worth,Detroit,hub,spoke,985.7,75,5700,4408,0.773,118.96,524375.68,537049.4,9.56
DTW,DFW,1,Detroit,Dallas/Fort Worth,spoke,hub,985.7,86,13760,9290,0.675,136.95,1272265.5,863022.95,6.36
DFW,DTW,2,Dallas/Fort Worth,Detroit,hub,spoke,985.7,70,13230,10544,0.797,121.62,1282361.28,977860.32,7.5
DTW,DFW,2,Detroit,Dallas/Fort Worth,spoke,hub,985.7,77,12320,9551,0.775,126.47,1207914.97,979732.75,8.07
DFW,DTW,3,Dallas/Fort Worth,Detroit,hub,spoke,985.7,103,7828,7284,0.931,123.78,901613.52,717287.48,9.3
DTW,DFW,3,Detroit,Dallas/Fort Worth,spoke,hub,985.7,98,15680,13403,0.855,100.18,1342712.54,957287.5,6.19
DFW,DTW,4,Dallas/Fort Worth,Detroit,hub,spoke,985.7,86,16254,13391,0.824,136.84,1832424.44,1082248.6,6.75
DTW,DFW,4,Detroit,Dallas/Fort Worth,spoke,hub,985.7,79,11850,9094,0.767,119.59,1087551.46,847780.1,7.26
DFW,PDX,1,Dallas/Fort Worth,Portland,hub,spoke,1613.6,106,16960,11417,0.673,222.96,2545534.32,1750072.73,6.39
PDX,DFW,1,Portland,Dallas/Fort Worth,spoke,hub,1613.6,98,7448,4749,0.638,205.25,974732.25,946472.38,7.88
DFW,PDX,2,Dallas/Fort Worth,Portland,hub,spoke,1613.6,86,6536,4244,0.649,155.78,661130.32,910580.76,8.63
PDX,DFW,2,Portland,Dallas/Fort Worth,spoke,hub,1613.6,96,14400,10144,0.705,232.64,2359900.16,1372121.28,5.91
DFW,PDX,3,Dallas/Fort Worth,Portland,hub,spoke,1613.6,102,15300,13724,0.897,161.65,2218484.6,1768801.01,7.16
PDX,DFW,3,Portland,Dallas/Fort Worth,spoke,hub,1613.6,89,13350,10923,0.818,195.14,2131514.22,1446453.36,6.71
DFW,PDX,4,Dallas/Fort Worth,Portland,hub,spoke,1613.6,78,11700,10453,0.893,224.54,2347116.62,1013866.64,5.37
PDX,DFW,4,Portland,Dallas/Fort Worth,spoke,hub,1613.6,82,6232,4654,0.747,205.51,956443.54,807333.46,8.03
DFW,SLC,1,Dallas/Fort Worth,Salt Lake City,hub,spoke,987.6,71,11360,8089,0.712,103.86,840123.54,801582.14,7.14
SLC,DFW,1,Salt Lake City,Dallas/Fort Worth,spoke,hub,987.6,99,18711,13327,0.712,136.7,1821800.9,1197996.03,6.48
DFW,SLC,2,Dallas/Fort Worth,Salt Lake City,hub,spoke,987.6,85,13600,11035,0.811,141.61,1562666.35,876208.06,6.52
SLC,DFW,2,Salt Lake City,Dallas/Fort Worth,spoke,hub,987.6,72,10800,6929,0.642,145.04,1004982.16,784791.85,7.36
DFW,SLC,3,Dallas/Fort Worth,Salt Lake City,hub,spoke,987.6,84,15876,13263,0.835,148.75,1972871.25,1326495.56,8.46
SLC,DFW,3,Salt Lake City,Dallas/Fort Worth,spoke,hub,987.6,72,5472,5307,0.97,112.88,599054.16,518182.46,9.59
DFW,SLC,4,Dallas/Fort Worth,Salt Lake City,hub,spoke,987.6,70,5320,4211,0.792,131.52,553830.72,478322.79,9.1
SLC,DFW,4,Salt Lake City,Dallas/Fort Worth,spoke,hub,987.6,98,14700,10480,0.713,122.92,1288201.6,1173730.96,8.09
DFW,STL,1,Dallas/Fort Worth,St. Louis,hub,spoke,550.1,86,16254,15374,0.946,98.99,1521872.26,786892.67,8.8
STL,DFW,1,St. Louis,Dallas/Fort Worth,spoke,hub,550.1,110,8360,5901,0.706,103.89,613054.89,368403.75,8.01
DFW,STL,2,Dallas/Fort Worth,St. Louis,hub,spoke,550.1,89,14240,11613,0.816,78.41,910575.33,732574.64,9.35
STL,DFW,2,St. Louis,Dallas/Fort Worth,spoke,hub,550.1,77,14553,12752,0.876,97.67,1245487.84,710672.77,8.88
DFW,STL,3,Dallas/Fort Worth,St. Louis,hub,spoke,550.1,92,14720,14127,0.96,96.82,1367776.14,640431.76,7.91
STL,DFW,3,St. Louis,Dallas/Fort Worth,spoke,hub,550.1,84,12600,10809,0.858,81.14,877042.26,572203.49,8.25
DFW,STL,4,Dallas/Fort Worth,St. Louis,hub,spoke,550.1,64,10240,8199,0.801,86.0,705114.0,471259.15,8.37
STL,DFW,4,St. Louis,Dallas/Fort Worth,spoke,hub,550.1,77,11550,9806,0.849,83.75,821252.5,443224.81,6.98
DFW,MCI,1,Dallas/Fort Worth,Kansas City,hub,spoke,460.9,79,6004,3787,0.631,82.34,311821.58,376660.54,13.61
MCI,DFW,1,Kansas City,Dallas/Fort Worth,spoke,hub,460.9,88,14080,10955,0.778,69.52,761591.6,604753.87,9.32
DFW,MCI,2,Dallas/Fort Worth,Kansas City,hub,spoke,460.9,70,10500,10185,0.97,65.91329952611832,671326.96,444457.55,9.18
MCI,DFW,2,Kansas City,Dallas/Fort Worth,spoke,hub,460.9,78,12480,9656,0.774,82.72,798744.32,473443.32,8.23
DFW,MCI,3,Dallas/Fort Worth,Kansas City,hub,spoke,460.9,79,14931,13319,0.892,82.36,1096952.84,605023.6,8.79
MCI,DFW,3,Kansas City,Dallas/Fort Worth,spoke,hub,460.9,100,18900,17849,0.944,65.91329952611832,1176486.48,767600.83,8.81
DFW,MCI,4,Dallas/Fort Worth,Kansas City,hub,spoke,460.9,91,17199,14732,0.857,72.21,1063797.72,719730.56,9.08
MCI,DFW,4,Kansas City,Dallas/Fort Worth,spoke,hub,460.9,88,13200,10349,0.784,73.49,760548.01,431835.4,7.1
DFW,OMA,1,Dallas/Fort Worth,Omaha,hub,spoke,583.8,79,12640,7989,0.632,104.37,833811.93,594266.57,8.05
OMA,DFW,1,Omaha,Dallas/Fort Worth,spoke,hub,583.8,89,16821,12923,0.768,69.68,900474.64,879334.36,8.95
DFW,OMA,2,Dallas/Fort Worth,Omaha,hub,spoke,583.8,92,14720,10713,0.728,105.42,1129364.46,729611.68,8.49
OMA,DFW,2,Omaha,Dallas/Fort Worth,spoke,hub,583.8,77,5852,4700,0.803,84.27,396069.0,347780.21,10.18
DFW,OMA,3,Dallas/Fort Worth,Omaha,hub,spoke,583.8,84,13440,11135,0.829,90.85,1011614.75,686297.75,8.75
OMA,DFW,3,Omaha,Dallas/Fort Worth,spoke,hub,583.8,84,12600,12222,0.97,102.81,1256543.82,615106.89,8.36
DFW,OMA,4,Dallas/Fort Worth,Omaha,hub,spoke,583.8,68,5168,4291,0.83,98.83,424079.53,259978.88,8.62
OMA,DFW,4,Omaha,Dallas/Fort Worth,spoke,hub,583.8,79,11850,9443,0.797,93.32,881220.76,590009.06,8.53
DFW,BOI,1,Dallas/Fort Worth,Boise,hub,spoke,1270.2,81,6156,5092,0.827,147.21,749593.32,770538.92,9.85
BOI,DFW,1,Boise,Dallas/Fort Worth,spoke,hub,1270.2,82,15498,11181,0.722,165.55,1851014.55,1249354.92,6.35
DFW,BOI,2,Dallas/Fort Worth,Boise,hub,spoke,1270.2,88,14080,10906,0.775,172.95,1886192.7,1062272.08,5.94
BOI,DFW,2,Boise,Dallas/Fort Worth,spoke,hub,1270.2,89,13350,10430,0.781,184.15,1920684.5,1130889.36,6.67
DFW,BOI,3,Dallas/Fort Worth,Boise,hub,spoke,1270.2,71,11360,10609,0.934,143.55,1522921.95,972116.47,6.74
BOI,DFW,3,Boise,Dallas/Fort Worth,spoke,hub,1270.2,75,12000,10830,0.903,159.27,1724894.1,1148330.49,7.53
DFW,BOI,4,Dallas/Fort Worth,Boise,hub,spoke,1270.2,57,8550,7731,0.904,180.05,1391966.55,732309.19,6.74
BOI,DFW,4,Boise,Dallas/Fort Worth,spoke,hub,1270.2,75,12000,9586,0.799,156.3,1498291.8,1025181.12,6.73
DFW,TUL,1,Dallas/Fort Worth,Tulsa,hub,spoke,237.2,82,12300,9288,0.755,62.55815789417527,581040.17,319869.8,10.96
TUL,DFW,1,Tulsa,Dallas/Fort Worth,spoke,hub,237.2,93,7068,4452,0.63,62.55815789417527,278508.92,220869.75,13.17
DFW,TUL,2,Dallas/Fort Worth,Tulsa,hub,spoke,237.2,81,12150,9978,0.821,62.55815789417527,624205.3,288721.79,10.02
TUL,DFW,2,Tulsa,Dallas/Fort Worth,spoke,hub,237.2,79,12640,8224,0.651,62.55815789417527,514478.29,344699.63,11.5
DFW,TUL,3,Dallas/Fort Worth,Tulsa,hub,spoke,237.2,89,13350,12949,0.97,62.55815789417527,810065.59,346623.89,10.95
TUL,DFW,3,Tulsa,Dallas/Fort Worth,spoke,hub,237.2,77,12320,11950,0.97,62.55815789417527,747569.99,316823.87,10.84
DFW,TUL,4,Dallas/Fort Worth,Tulsa,hub,spoke,237.2,99,15840,10766,0.68,62.55815789417527,673501.13,418275.29,11.13
TUL,DFW,4,Tulsa,Dallas/Fort Worth,spoke,hub,237.2,72,13608,7890,0.58,62.55815789417527,493583.87,359190.62,11.13
DFW,GEG,1,Dallas/Fort Worth,Spokane,hub,spoke,1475.2,93,13950,8968,0.643,197.9,1774767.2,1257595.05,6.11
GEG,DFW,1,Spokane,Dallas/Fort Worth,spoke,hub,1475.2,54,8640,5800,0.671,183.22,1062676.0,741477.6,5.82
DFW,GEG,2,Dallas/Fort Worth,Spokane,hub,spoke,1475.2,81,12150,8603,0.708,213.44,1836224.32,1106876.81,6.18
GEG,DFW,2,Spokane,Dallas/Fort Worth,spoke,hub,1475.2,100,18900,14216,0.752,234.02,3326828.32,1951461.0,7.0
DFW,GEG,3,Dallas/Fort Worth,Spokane,hub,spoke,1475.2,91,14560,12312,0.846,203.41,2504383.92,1187735.38,5.53
GEG,DFW,3,Spokane,Dallas/Fort Worth,spoke,hub,1475.2,91,6916,6708,0.97,268.36,1800158.88,825742.57,8.09
DFW,GEG,4,Dallas/Fort Worth,Spokane,hub,spoke,1475.2,91,17199,14680,0.854,220.97,3243839.6,1572310.08,6.2
GEG,DFW,4,Spokane,Dallas/Fort Worth,spoke,hub,1475.2,95,14250,11663,0.818,210.65,2456810.95,1555036.29,7.4
DFW,FAR,1,Dallas/Fort Worth,Fargo,hub,spoke,968.8,79,12640,9709,0.768,132.24,1283918.16,882251.73,7.2
FAR,DFW,1,Fargo,Dallas/Fort Worth,spoke,hub,968.8,74,13986,10574,0.756,137.01,1448743.74,923853.03,6.82
DFW,FAR,2,Dallas/Fort Worth,Fargo,hub,spoke,968.8,72,11520,9603,0.834,116.91,1122686.73,728133.54,6.52
FAR,DFW,2,Fargo,Dallas/Fort Worth,spoke,hub,968.8,98,15680,13401,0.855,119.38,1599811.38,1125887.86,7.41
DFW,FAR,3,Dallas/Fort Worth,Fargo,hub,spoke,968.8,85,12750,11898,0.933,148.95,1772207.1,991573.22,8.03
FAR,DFW,3,Fargo,Dallas/Fort Worth,spoke,hub,968.8,81,12960,11284,0.871,99.41,1121742.44,1009365.26,8.04
DFW,FAR,4,Dallas/Fort Worth,Fargo,hub,spoke,968.8,106,16960,12567,0.741,118.4,1487932.8,1350998.46,8.22
FAR,DFW,4,Fargo,Dallas/Fort Worth,spoke,hub,968.8,67,10050,8150,0.811,135.43,1103754.5,657703.89,6.76
DFW,BIL,1,Dallas/Fort Worth,Billings,hub,spoke,1080.7,92,13800,9017,0.653,117.04,1055349.68,970534.21,6.51
BIL,DFW,1,Billings,Dallas/Fort Worth,spoke,hub,1080.7,84,12600,9260,0.735,145.2,1344552.0,971623.79,7.14
DFW,BIL,2,Dallas/Fort Worth,Billings,hub,spoke,1080.7,86,13760,10708,0.778,177.04,1895744.32,898405.71,6.04
BIL,DFW,2,Billings,Dallas/Fort Worth,spoke,hub,1080.7,75,14175,11965,0.844,157.06,1879222.9,949273.45,6.2
DFW,BIL,3,Dallas/Fort Worth,Billings,hub,spoke,1080.7,81,12960,12571,0.97,132.2,1661886.2,974319.41,6.96
BIL,DFW,3,Billings,Dallas/Fort Worth,spoke,hub,1080.7,96,15360,14097,0.918,146.22,2061263.34,1127823.57,6.79
DFW,BIL,4,Dallas/Fort Worth,Billings,hub,spoke,1080.7,75,12000,10185,0.849,147.98,1507176.3,1038034.55,8.0
BIL,DFW,4,Billings,Dallas/Fort Worth,spoke,hub,1080.7,75,5700,4600,0.807,139.02,639492.0,519007.97,8.43
DEN,LAX,1,Denver,Los Angeles,hub,spoke,861.0,62,9920,6548,0.66,155.98,1021357.04,662636.08,7.76
LAX,DEN,1,Los Angeles,Denver,spoke,hub,861.0,85,13600,10643,0.783,133.76,1423607.68,879624.8,7.51
DEN,LAX,2,Denver,Los Angeles,hub,spoke,861.0,86,12900,10103,0.783,135.49,1368855.47,913367.31,8.22
LAX,DEN,2,Los Angeles,Denver,spoke,hub,861.0,82,12300,9243,0.752,163.62,1512339.66,738837.4,6.98
DEN,LAX,3,Denver,Los Angeles,hub,spoke,861.0,82,12300,11931,0.97,113.09,1349276.79,848769.67,8.01
LAX,DEN,3,Los Angeles,Denver,spoke,hub,861.0,67,10050,8084,0.804,135.48,1095220.32,631722.19,7.3
DEN,LAX,4,Denver,Los Angeles,hub,spoke,861.0,95,7220,5852,0.811,101.28,592690.56,599953.03,9.65
LAX,DEN,4,Los Angeles,Denver,spoke,hub,861.0,85,12750,10477,0.822,136.19,1426862.63,803250.7,7.32
DEN,JFK,1,Denver,New York JFK,hub,spoke,1621.5,79,14931,11102,0.744,218.48,2425564.96,1329163.23,5.49
JFK,DEN,1,New York JFK,Denver,spoke,hub,1621.5,98,18522,13896,0.75,231.64,3218869.44,1693999.09,5.64
DEN,JFK,2,Denver,New York JFK,hub,spoke,1621.5,72,10800,7839,0.726,216.79,1699416.81,1070712.63,6.11
JFK,DEN,2,New York JFK,Denver,spoke,hub,1621.5,79,11850,11494,0.97,206.47,2373166.18,1144418.77,5.96
DEN,JFK,3,Denver,New York JFK,hub,spoke,1621.5,81,12960,12571,0.97,238.21,2994537.91,1317824.66,6.27
JFK,DEN,3,New York JFK,Denver,spoke,hub,1621.5,81,12960,10714,0.827,200.07,2143549.98,1347686.94,6.41
DEN,JFK,4,Denver,New York JFK,hub,spoke,1621.5,89,13350,10039,0.752,200.97,2017537.83,1033480.51,4.77
JFK,DEN,4,New York JFK,Denver,spoke,hub,1621.5,62,9920,8916,0.899,231.22,2061557.52,1166341.76,7.25
DEN,MIA,1,Denver,Miami,hub,spoke,1708.0,96,14400,13165,0.914,213.84,2815203.6,1565099.85,6.36
MIA,DEN,1,Miami,Denver,spoke,hub,1708.0,99,7524,7298,0.97,199.04,1452593.92,1020051.28,7.94
DEN,MIA,2,Denver,Miami,hub,spoke,1708.0,116,18560,10936,0.589,202.51,2214649.36,1907788.89,6.02
MIA,DEN,2,Miami,Denver,spoke,hub,1708.0,78,11700,8336,0.713,203.12,1693208.32,992883.89,4.97
DEN,MIA,3,Denver,Miami,hub,spoke,1708.0,91,13650,12927,0.947,218.74,2827651.98,1475234.54,6.33
MIA,DEN,3,Miami,Denver,spoke,hub,1708.0,62,9920,8919,0.899,233.86,2085797.34,1178398.93,6.96
DEN,MIA,4,Denver,Miami,hub,spoke,1708.0,88,13200,9168,0.695,215.21,1973045.28,1437433.65,6.38
MIA,DEN,4,Miami,Denver,spoke,hub,1708.0,92,14720,11400,0.774,231.32,2637048.0,1608746.68,6.4
DEN,PHX,1,Denver,Phoenix,hub,spoke,602.0,75,11250,9684,0.861,80.59,780433.56,602869.35,8.9
PHX,DEN,1,Phoenix,Denver,spoke,hub,602.0,84,6384,5107,0.8,115.37,589194.59,443638.45,11.54
DEN,PHX,2,Denver,Phoenix,hub,spoke,602.0,89,16821,13876,0.825,83.3,1155870.8,777152.77,7.67
PHX,DEN,2,Phoenix,Denver,spoke,hub,602.0,91,14560,12004,0.824,82.28,987689.12,765737.89,8.74
DEN,PHX,3,Denver,Phoenix,hub,spoke,602.0,65,9750,8666,0.889,87.93,762001.38,471394.4,8.03
PHX,DEN,3,Phoenix,Denver,spoke,hub,602.0,85,13600,12199,0.897,88.26,1076683.74,721648.32,8.81
DEN,PHX,4,Denver,Phoenix,hub,spoke,602.0,75,5700,4468,0.784,103.1,460650.8,374753.84,10.92
PHX,DEN,4,Phoenix,Denver,spoke,hub,602.0,70,10500,8246,0.785,117.73,970801.58,462105.12,7.31
DEN,IAH,1,Denver,Houston,hub,spoke,862.3,92,17388,14183,0.816,153.57,2178083.31,1218469.04,8.13
IAH,DEN,1,Houston,Denver,spoke,hub,862.3,86,16254,11291,0.695,144.43,1630759.13,1191736.86,8.5
DEN,IAH,2,Denver,Houston,hub,spoke,862.3,78,11700,8050,0.688,145.5,1171275.0,801428.57,7.94
IAH,DEN,2,Houston,Denver,spoke,hub,862.3,60,9600,6866,0.715,159.81,1097255.46,619691.03,7.49
DEN,IAH,3,Denver,Houston,hub,spoke,862.3,77,12320,11950,0.97,107.17,1280681.5,766904.25,7.22
IAH,DEN,3,Houston,Denver,spoke,hub,862.3,89,13350,12949,0.97,140.45,1818687.05,896951.41,7.79
DEN,IAH,4,Denver,Houston,hub,spoke,862.3,84,12600,10429,0.828,100.97,1053016.13,823998.66,7.58
IAH,DEN,4,Houston,Denver,spoke,hub,862.3,86,6536,5086,0.778,118.2,601165.2,502600.35,8.92
DEN,BOS,1,Denver,Boston,hub,spoke,1749.3,72,10800,8260,0.765,224.26,1852387.6,1282750.27,6.79
BOS,DEN,1,Boston,Denver,spoke,hub,1749.3,62,4712,3322,0.705,193.93,644235.46,557577.24,6.76
DEN,BOS,2,Denver,Boston,hub,spoke,1749.3,71,13419,10429,0.777,165.61,1727146.69,1362581.88,5.8
BOS,DEN,2,Boston,Denver,spoke,hub,1749.3,77,5852,4321,0.738,176.96,764644.16,815963.84,7.97
DEN,BOS,3,Denver,Boston,hub,spoke,1749.3,71,13419,11657,0.869,161.47,1882255.79,1614252.4,6.88
BOS,DEN,3,Boston,Denver,spoke,hub,1749.3,70,11200,10664,0.952,187.25,1996834.0,1012863.55,5.17
DEN,BOS,4,Denver,Boston,hub,spoke,1749.3,77,5852,4205,0.719,168.83,709930.15,841689.94,8.22
BOS,DEN,4,Boston,Denver,spoke,hub,1749.3,89,16821,13706,0.815,160.43,2198853.58,1942111.62,6.6
DEN,SFO,1,Denver,San Francisco,hub,spoke,965.3,92,13800,8539,0.619,134.49,1148410.11,942431.15,7.08
SFO,DEN,1,San Francisco,Denver,spoke,hub,965.3,78,12480,8766,0.702,141.88,1243720.08,999737.28,8.3
DEN,SFO,2,Denver,San Francisco,hub,spoke,965.3,74,11100,8738,0.787,122.49,1070317.62,687713.44,6.42
SFO,DEN,2,San Francisco,Denver,spoke,hub,965.3,77,11550,8733,0.756,143.67,1254670.11,824247.47,7.39
DEN,SFO,3,Denver,San Francisco,hub,spoke,965.3,79,12640,11032,0.873,145.55,1605707.6,925582.69,7.59
SFO,DEN,3,San Francisco,Denver,spoke,hub,965.3,74,13986,11788,0.843,123.39,1454521.32,1085836.29,8.04
DEN,SFO,4,Denver,San Francisco,hub,spoke,965.3,82,6232,5109,0.82,150.06,766656.54,524839.4,8.72
SFO,DEN,4,San Francisco,Denver,spoke,hub,965.3,100,15000,11046,0.736,127.23,1405382.58,1003234.24,6.93
DEN,LAS,1,Denver,Las Vegas,hub,spoke,627.2,95,7220,7003,0.97,82.79,579778.37,574815.98,12.69
LAS,DEN,1,Las Vegas,Denver,spoke,hub,627.2,100,16000,11145,0.697,116.8,1301736.0,841994.61,8.39
DEN,LAS,2,Denver,Las Vegas,hub,spoke,627.2,75,12000,8733,0.728,94.71,827102.43,571182.14,7.59
LAS,DEN,2,Las Vegas,Denver,spoke,hub,627.2,79,11850,8523,0.719,97.05,827157.15,649038.2,8.73
DEN,LAS,3,Denver,Las Vegas,hub,spoke,627.2,103,7828,7593,0.97,116.97,888153.21,481205.24,9.8
LAS,DEN,3,Las Vegas,Denver,spoke,hub,627.2,75,12000,10956,0.913,85.92,941339.52,668057.4,8.88
DEN,LAS,4,Denver,Las Vegas,hub,spoke,627.2,78,11700,10201,0.872,79.18,807715.18,575376.04,7.84
LAS,DEN,4,Las Vegas,Denver,spoke,hub,627.2,103,7828,6142,0.785,83.11,510461.62,376799.68,7.67
DEN,MSP,1,Denver,Minneapolis,hub,spoke,678.7,89,14240,8581,0.603,115.62,992135.22,812357.63,8.41
MSP,DEN,1,Minneapolis,Denver,spoke,hub,678.7,61,9150,5962,0.652,131.95,786685.9,486528.07,7.83
DEN,MSP,2,Denver,Minneapolis,hub,spoke,678.7,75,11250,8004,0.711,80.68,645762.72,623493.73,8.17
MSP,DEN,2,Minneapolis,Denver,spoke,hub,678.7,77,11550,7975,0.691,135.01,1076704.75,633230.15,8.08
DEN,MSP,3,Denver,Minneapolis,hub,spoke,678.7,95,15200,12800,0.842,105.38,1348864.0,859831.06,8.33
MSP,DEN,3,Minneapolis,Denver,spoke,hub,678.7,67,10050,9748,0.97,111.55,1087389.4,535564.6,7.85
DEN,MSP,4,Denver,Minneapolis,hub,spoke,678.7,71,10650,8414,0.79,104.93,882881.02,556303.52,7.7
MSP,DEN,4,Minneapolis,Denver,spoke,hub,678.7,82,13120,10786,0.822,89.02,960169.72,682764.47,7.67
DEN,DTW,1,Denver,Detroit,hub,spoke,1120.0,78,14742,12021,0.815,127.37,1531114.77,1141400.44,6.91
DTW,DEN,1,Detroit,Denver,spoke,hub,1120.0,84,12600,10160,0.806,140.81,1430629.6,1082185.59,7.67
DEN,DTW,2,Denver,Detroit,hub,spoke,1120.0,105,19845,15259,0.769,170.74,2605321.66,1542195.72,6.94
DTW,DEN,2,Detroit,Denver,spoke,hub,1120.0,81,12960,10429,0.805,159.12,1659462.48,1024853.2,7.06
DEN,DTW,3,Denver,Detroit,hub,spoke,1120.0,89,13350,12028,0.901,116.28,1398615.84,1077216.83,7.2
DTW,DEN,3,Detroit,Denver,spoke,hub,1120.0,86,12900,11525,0.893,147.39,1698669.75,928352.87,6.43
DEN,DTW,4,Denver,Detroit,hub,spoke,1120.0,81,12150,9720,0.8,127.04,1234828.8,959339.24,7.05
DTW,DEN,4,Detroit,Denver,spoke,hub,1120.0,74,11840,9491,0.802,158.39,1503279.49,1061888.01,8.01
DEN,PDX,1,Denver,Portland,hub,spoke,989.7,89,14240,11925,0.837,134.69,1606178.25,1028451.53,7.3
PDX,DEN,1,Portland,Denver,spoke,hub,989.7,96,14400,10175,0.707,143.57,1460824.75,1137340.65,7.98
DEN,PDX,2,Denver,Portland,hub,spoke,989.7,86,6536,5303,0.811,161.14,854525.42,664332.85,10.27
PDX,DEN,2,Portland,Denver,spoke,hub,989.7,81,12150,11323,0.932,153.11,1733664.53,893632.54,7.43
DEN,PDX,3,Denver,Portland,hub,spoke,989.7,77,11550,11203,0.97,130.49,1461879.47,932517.19,8.16
PDX,DEN,3,Portland,Denver,spoke,hub,989.7,100,15000,14550,0.97,165.03,2401186.5,1010745.68,6.81
DEN,PDX,4,Denver,Portland,hub,spoke,989.7,103,7828,5917,0.756,136.74,809090.58,690050.23,8.91
PDX,DEN,4,Portland,Denver,spoke,hub,989.7,86,13760,10691,0.777,127.32,1361178.12,1110845.43,8.16
